0;123.607;
1;76.3932;
2;47.2136;
3;29.1796;
4;18.034;
5;11.1456;
6;6.88837;
7;4.25725;
8;2.63112;
9;1.62612;
10;1.005;
11;0.621124;
12;0.383876;
13;0.237248;
14;0.146627;
15;0.0906208;
16;0.0560067;
17;0.0346141;
18;0.0213927;
19;0.0132214;
20;0.00817127;
21;0.00505012;
22;0.00312115;
23;0.00192898;
24;0.00119217;
25;0.000736803;
26;0.000455369;
27;0.000281434;
28;0.000173936;
29;0.000107498;
30;6.64375e-05;
31;4.10606e-05;
32;2.53769e-05;
33;1.56838e-05;
34;9.6931e-06;
35;5.99066e-06;
36;3.70243e-06;
37;2.28823e-06;
38;1.4142e-06;
39;8.74026e-07;
40;5.40178e-07;
41;3.33848e-07;
42;2.0633e-07;
43;1.27519e-07;
44;7.88109e-08;
45;4.87078e-08;
46;3.01031e-08;
47;1.86047e-08;
48;1.14984e-08;
49;7.10637e-09;
50;4.39198e-09;
51;2.71439e-09;
52;1.67759e-09;
53;1.03681e-09;
54;6.40781e-10;
55;3.96025e-10;
56;2.44757e-10;
57;1.51268e-10;
58;9.34887e-11;
59;5.77792e-11;
60;3.57095e-11;
61;2.20697e-11;
62;1.36398e-11;
63;8.42987e-12;
64;5.20995e-12;
65;3.21992e-12;
66;1.99002e-12;
67;1.2299e-12;
68;7.60121e-13;
69;4.69781e-13;
70;2.9034e-13;
71;1.7944e-13;
72;1.109e-13;
73;6.85401e-14;
74;4.23601e-14;
75;2.618e-14;
76;1.61801e-14;
77;9.99986e-15;
78;6.18026e-15;
79;3.81961e-15;
80;2.36065e-15;
81;1.45896e-15;
82;9.01687e-16;
83;5.57274e-16;
84;3.44413e-16;
85;2.1286e-16;
86;1.31553e-16;
87;8.13071e-17;
88;5.0246e-17;
89;3.10611e-17;
90;1.91848e-17;
91;1.18763e-17;
92;7.30851e-18;
93;4.56782e-18;
94;2.74069e-18;
95;1.82713e-18;
